crop,N,P,K,ph,temp,hum,rain
Rice,90,42,43,6.5,25,80,200
Maize,80,40,20,6.2,24,65,75
Chickpea,40,60,80,7.0,20,15,80
Kidneybeans,20,60,20,5.8,20,20,100
Pigeonpeas,20,70,20,6.5,28,50,150
Mothbeans,20,40,20,7.0,28,55,50
Mungbean,20,40,20,6.8,28,85,50
Blackgram,40,60,20,7.2,28,65,70
Lentil,20,60,20,6.5,22,65,50
Pomegranate,20,10,40,6.2,22,90,100
Banana,100,80,50,6.0,27,80,200
Mango,20,25,30,5.5,30,50,100
Grapes,25,125,200,6.0,23,82,70
Watermelon,100,20,50,6.5,25,85,50
Muskmelon,100,20,50,6.5,28,90,25
Apple,20,125,200,6.0,22,92,125
Orange,20,10,10,7.5,24,92,110
Papaya,50,50,50,6.5,33,92,150
Coconut,20,10,30,6.0,27,95,175
Jute,80,40,40,6.8,25,80,175
Cotton,120,40,20,6.0,24,55,80
Coffee,100,20,30,5.5,25,55,150
Tea,80,20,20,5.0,22,80,200
Rubber,50,30,60,5.0,28,80,250
Turmeric,60,50,50,6.0,25,75,150
Cumin,30,20,20,7.5,28,40,30
Tobacco,80,40,100,5.5,26,70,100
Sugarcane,150,60,60,6.5,28,60,150
Wheat,120,60,40,6.5,15,40,60
Barley,60,30,30,7.0,15,30,50
Mustard,80,40,20,6.5,18,50,40
Soybean,20,60,40,6.5,25,60,80
Sunflower,60,40,20,7.0,25,50,70
Potato,120,80,150,5.5,18,70,60
Tomato,100,60,80,6.2,24,65,75
Onion,80,40,60,6.5,20,60,50
Garlic,60,40,40,6.5,18,55,40
Ginger,60,50,50,6.0,25,75,150
Cardamom,40,40,60,5.5,20,85,250
Coriander,40,30,20,7.0,22,50,40
Chilli,80,40,40,6.5,26,60,80
Brinjal,100,60,40,6.5,25,65,80
Okra,80,40,40,6.5,28,70,100
Cabbage,120,60,60,6.5,18,75,60
Cauliflower,120,60,60,6.5,18,75,60
Carrot,60,40,80,6.0,18,70,50
Radish,60,40,60,6.5,18,65,40
Spinach,80,40,40,6.5,18,70,50
Peas,40,60,40,6.5,15,60,60
Guava,50,30,40,6.5,28,60,100
Sapota,40,30,40,6.5,28,70,120
